Year,Units,Cumulative,Source
1990,80000,80000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1991,70000,150000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1987
1992,60000,210000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1988
1993,55000,265000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1989
1994,56500,321500,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1990
1995,69000,390500,"https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1991, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf"
1996,80529,471029,"https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1992, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf"
1997,85000,556029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
1998,80000,636029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
1999,79000,715029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2000,99000,814029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2001,78000,892029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2002,81000,973029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2003,86000,1059029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2004,97000,1156029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2005,115000,1271029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2006,112000,1383029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2007,115000,1498029,diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf
2008,113000,1611029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf"
2009,60000,1671029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf"
2010,121000,1792029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf"
2011,166000,1958029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf"
2012,159000,2117029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf, https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf"
2013,178000,2295029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, diag.uniroma1.it/~deluca/rob1_en/2014_WorldRobotics_ExecSummary.pdf, https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf"
2014,221000,2516029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years, https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf"
2015,254000,2770029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf, https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years"
2016,294000,3064029,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2017,381000,3445029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf, https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years"
2018,422000,3867029,"https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf, https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf"
2019,373000,4240029,"https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf, https://ifr.org/downloads/press2018/2024-SEP-24_IFR_press_release_World_Robotics_2024_-_global_market.pdf, https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years"
2020,384000,4624029,https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2021,526000,5150029,"https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf, https://ifr.org/downloads/press2018/2024-SEP-24_IFR_press_release_World_Robotics_2024_-_global_market.pdf, https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years"
2022,553000,5703029,"https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf, https://ifr.org/downloads/press2018/2024-SEP-24_IFR_press_release_World_Robotics_2024_-_global_market.pdf"
2023,541302,6244331,"https://ifr.org/downloads/press2018/2024-SEP-24_IFR_press_release_World_Robotics_2024_-_global_market.pdf, https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years"
2024,542000,6786331,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years
2025,575000,7361331,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years
