year,smartphone_shipments_millions,cumulative_shipments_millions,cumulative_shipments_billions, source
2005,55.6,55.6,0.0556, alternative source : https://www.statista.com/statistics/263437/global-smartphone-sales-to-end-users-since-2007/
2006,80.5,136.1,0.1361, https://circuitsassembly.com/ca/editorial/service-excellence-award/293-news/2006-news/11879-idc-mobile-phone-shipments-topped-800m.html
2007,122.0,258.1,0.2581, https://www.actu-environnement.com/media/pdf/news-28534-smartphone-greenpeace.pdf
2008,139.0,397.1,0.3971,
2009,174.0,571.1,0.5711,
2010,305.0,876.1,0.8761,
2011,491.0,1367.1,1.3671,
2012,725.0,2092.1,2.0921,
2013,1020.0,3112.1,3.1121,
2014,1300.0,4412.1,4.4121,
2015,1432.0,5844.1,5.8441,
2016,1470.0,7314.1,7.3141,
2017,1472.0,8786.1,8.7861,
2018,1402.6,10188.7,10.1887,
2019,1371.0,11559.7,11.5597,
2020,1281.2,12840.9,12.8409,
2021,1354.8,14195.7,14.1957,
2022,1205.5,15401.2,15.4012,
2023,1166.9,16568.1,16.5681,
2024,1236.3,17804.4,17.8044,
2025,1260.3,19064.7,19.0647,
